year1,year2,size
1890,1894,687021554.846385
1891,1895,652017280.619992
1892,1896,669802149.243101
1893,1897,603939287.758024
1894,1898,637826220.393017
1895,1899,623137064.647743
1896,1900,602089709.693545
1897,1901,644650396.609894
1898,1902,635423347.648667
1899,1903,625691791.184716
1900,1904,590892306.797325
1901,1905,641881888.627311
1902,1906,620300249.609263
1903,1907,601588475.666007
1904,1908,604640366.831116
1905,1909,594093546.902099
1906,1910,556581246.975583
1907,1911,585237805.246928
1908,1912,568846034.558152
1909,1913,561370268.017623
1910,1914,553236672.319489
1911,1915,563031183.83589
1912,1916,525947754.543957
1913,1917,588269462.533611
1914,1918,574153242.732968
1915,1919,557887580.73107
1916,1920,553394377.176313
1917,1921,532124679.940812
1918,1922,568675653.921374
1919,1923,538699823.806393
1920,1924,521510356.125021
1921,1925,563642678.075706
1922,1926,524159731.68459
1923,1927,511834246.562933
1924,1928,514288256.427233
1925,1929,497706970.312489
1926,1930,487444367.751235
1927,1931,564987687.785513
1928,1932,541317769.745344
1929,1933,506948435.213702
1930,1934,467723266.593559
1931,1935,472336943.084135
1932,1936,483612452.379936
1933,1937,501140441.627426
1934,1938,449393854.907536
1935,1939,422869910.295895
1936,1940,438444274.477035
1937,1941,474227947.13378
1938,1942,471361324.57648
1939,1943,468550344.573504
1940,1944,451346279.932325
1941,1945,454219300.668083
1942,1946,435270065.737794
1943,1947,461094420.829962
1944,1948,407100308.37069
1945,1949,443648484.823584
1946,1950,410270155.37007
1947,1951,417621588.732885
1948,1952,433350584.582889
1949,1953,440085430.868324
1950,1954,387592425.494882
1951,1955,436724908.727385
1952,1956,419105123.307043
1953,1957,398628342.316474
1954,1958,391611605.41345
1955,1959,386947153.99564
1956,1960,380868332.42927
1957,1961,384014283.708565
1958,1962,380484398.187083
1959,1963,393683464.246262
1960,1964,405227433.115483
1961,1965,377309658.513666
1962,1966,357984273.416513
1963,1967,372530821.895558
1964,1968,358464041.474082
1965,1969,327119198.718842
1966,1970,367303582.01161
1967,1971,348750587.803245
1968,1972,340735947.533099
1969,1973,355767561.14
1970,1974,336568882.8
1971,1975,314354538.84
1972,1976,300046472.12
1973,1977,313145728.6
1974,1978,302029717.7
1975,1979,308354025.96
1976,1980,309689040.94
1977,1981,312915699.98
1978,1982,288943421.5
1979,1983,289682556.68
1980,1984,285993015.2
1981,1985,290487862.52
1982,1986,288475701.28
1983,1987,291570573.88
1984,1988,305814815.62
1985,1989,309360557.24
1986,1990,309407358.96
1987,1991,292353475.34
1988,1992,282425767.36
1989,1993,256215321.58
1990,1994,238965499.4
1991,1995,221036700.56
1992,1996,217880569.14
1993,1997,213645071.3
1994,1998,206820467.62
1995,1999,195303713.18
1996,2000,187372087.66
1997,2001,180315731.4
1998,2002,177893990.58
1999,2003,175859217.36
2000,2004,175434672.24
2001,2005,176665341.08
2002,2006,173518722.58
2003,2007,171639757.98
2004,2008,169021021.34
2005,2009,173565885.44
2006,2010,173302950.1
2007,2011,175698992.26
2008,2012,178639494.68
2009,2013,183554715.82
2010,2014,181786640.28
2011,2015,179650061.42
2012,2016,180077703.875
2013,2017,178619154.533333
2014,2018,174816992
2015,2019,171869411.5
