cohort.lower.bound,cohort.upper.bound,age,diag.year.lower.bound,diag.year.upper.bound,ir.mean,ir.sd,size,num
1890,1894,79,1969,1973,399.0934174,NaN,52.64758403,4.89989E+11
1890,1894,80,1970,1974,501.4107063,31.25167551,51.91647137,4.70572E+11
1890,1894,81,1971,1975,521.9141422,22.166444,51.78042346,4.66592E+11
1890,1894,82,1972,1976,555.6271091,56.82478987,51.15699072,4.49689E+11
1890,1894,83,1973,1977,582.0464656,72.11457842,51.48209324,4.58141E+11
1890,1894,84,1974,1978,590.4663242,98.50548338,51.09255691,4.47872E+11
1890,1894,85,1975,1979,128.717365,17.04078159,51.43940719,4.56739E+11
1895,1899,74,1969,1973,427.2345043,NaN,52.64758403,4.89989E+11
1895,1899,75,1970,1974,433.9542445,2.626837776,51.91647137,4.70572E+11
1895,1899,76,1971,1975,440.8330392,59.32498596,51.78042346,4.66592E+11
1895,1899,77,1972,1976,441.0755125,59.17777504,51.15699072,4.49689E+11
1895,1899,78,1973,1977,504.5255271,62.77888887,51.48209324,4.58141E+11
1895,1899,79,1974,1978,490.5440554,57.05449933,51.09255691,4.47872E+11
1895,1899,80,1975,1979,543.2246012,50.93498079,51.43940719,4.56739E+11
1895,1899,81,1976,1980,526.9664658,26.90180482,50.60373443,4.3443E+11
1895,1899,82,1977,1981,583.2373762,47.61868106,50.70992933,4.37166E+11
1895,1899,83,1978,1982,622.238964,73.71607521,50.56927877,4.33444E+11
1895,1899,84,1979,1983,601.7800705,52.03323165,50.96899724,4.43992E+11
1895,1899,85,1980,1984,124.0046846,24.28600011,50.44844697,4.3091E+11
1900,1904,69,1969,1973,299.9484464,NaN,52.64758403,4.89989E+11
1900,1904,70,1970,1974,326.5754665,26.3947704,51.91647137,4.70572E+11
1900,1904,71,1971,1975,313.0643516,15.37105555,51.78042346,4.66592E+11
1900,1904,72,1972,1976,386.8509756,25.61334207,51.15699072,4.49689E+11
1900,1904,73,1973,1977,398.6795085,31.56879059,51.48209324,4.58141E+11
1900,1904,74,1974,1978,392.7924074,37.53261992,51.09255691,4.47872E+11
1900,1904,75,1975,1979,422.9528501,21.33949417,51.43940719,4.56739E+11
1900,1904,76,1976,1980,461.8350568,49.03332836,50.60373443,4.3443E+11
1900,1904,77,1977,1981,472.2064477,31.0813652,50.70992933,4.37166E+11
1900,1904,78,1978,1982,484.971471,34.70713108,50.56927877,4.33444E+11
1900,1904,79,1979,1983,522.6289335,62.19049656,50.96899724,4.43992E+11
