year1,year2,size
1890,1894,1026554996437.36
1891,1895,1041379504564.2
1892,1896,966346244591.7
1893,1897,1011598325818.29
1894,1898,995748084661.341
1895,1899,961838657225.356
1896,1900,969624520218.746
1897,1901,975778291720.647
1898,1902,1022943804191.53
1899,1903,1002665632583.83
1900,1904,927188964087.169
1901,1905,993514051043.885
1902,1906,948214879302.15
1903,1907,928278547434.899
1904,1908,934458686045.861
1905,1909,912333835007.49
1906,1910,906892281694.963
1907,1911,927012996379.604
1908,1912,918878772527.629
1909,1913,912225590609.426
1910,1914,893002321852.229
1911,1915,854882087122.48
1912,1916,880186614858.98
1913,1917,888621119987.54
1914,1918,862800668172.18
1915,1919,865112358989.314
1916,1920,853190621431.856
1917,1921,829221291260.441
1918,1922,832391935511.086
1919,1923,807575072896.472
1920,1924,828726876808.773
1921,1925,787997396236.599
1922,1926,782512121496.79
1923,1927,780047791958.515
1924,1928,737662209627.178
1925,1929,803951514021.95
1926,1930,778600477386.245
1927,1931,753800879700.104
1928,1932,782448655903.811
1929,1933,724271878560.991
1930,1934,744316424641.901
1931,1935,735206053904.891
1932,1936,737765436012.007
1933,1937,730870373432.618
1934,1938,704443021776.409
1935,1939,711574118292.323
1936,1940,702536729493.004
1937,1941,708963458689.476
1938,1942,709937177405.84
1939,1943,703414884992.885
1940,1944,663728218113.965
1941,1945,672629862523.113
1942,1946,644305998703.036
1943,1947,639194509307.212
1944,1948,650858101125.695
1945,1949,669738865100.02
1946,1950,624560133226.444
1947,1951,636797214592.693
1948,1952,620053971073.299
1949,1953,635657553914.878
1950,1954,592077497987.175
1951,1955,603990712074.661
1952,1956,605871707164.088
1953,1957,608221481708.582
1954,1958,608829084484.465
1955,1959,577723845398.934
1956,1960,544630333644.216
1957,1961,550335095323.956
1958,1962,538222068161.314
1959,1963,588326727142.737
1960,1964,532080114882.063
1961,1965,548029494517.282
1962,1966,525558042842.077
1963,1967,536794393966.811
1964,1968,502434654261.483
1965,1969,485016820597.931
1966,1970,477892337388.312
1967,1971,502960825974.921
1968,1972,485073617680.409
1969,1973,489989000000
1970,1974,470572000000
1971,1975,466592000000
1972,1976,449689000000
1973,1977,458141000000
1974,1978,447872000000
1975,1979,456739000000
1976,1980,434430000000
1977,1981,437166000000
1978,1982,433444000000
1979,1983,443992000000
1980,1984,430910000000
1981,1985,411403000000
1982,1986,392196000000
1983,1987,388371000000
1984,1988,360170000000
1985,1989,348600000000
1986,1990,354144000000
1987,1991,351287000000
1988,1992,329233000000
1989,1993,329276000000
1990,1994,329973000000
1991,1995,326616000000
1992,1996,324050000000
1993,1997,320500000000
1994,1998,313256000000
1995,1999,307704000000
1996,2000,307019000000
1997,2001,302001000000
1998,2002,295307000000
1999,2003,279172000000
2000,2004,276816000000
2001,2005,254661000000
2002,2006,244661000000
2003,2007,236838000000
2004,2008,230261000000
2005,2009,209910000000
2006,2010,200638000000
2007,2011,200079000000
2008,2012,203657000000
2009,2013,197749000000
2010,2014,195660000000
2011,2015,210236000000
2012,2016,202585000000
2013,2017,189557000000
2014,2018,205631000000
2015,2019,230486000000
