cohort.lower.bound,cohort.upper.bound,age,diag.year.lower.bound,diag.year.upper.bound,ir.mean,ir.sd,size,num
1890,1894,79,1969,1973,9.42832898582608,NaN,26.086483516,25143795448.2
1890,1894,80,1970,1974,4.91009873678514,2.76974415775498,25.66868063,23965951151.4
1890,1894,81,1971,1975,6.48863716502395,1.0091735677892,25.361063184,23122915107
1890,1894,82,1972,1976,9.73017946082604,4.19379288381341,24.983655394,22079435050.8
1890,1894,83,1973,1977,9.73866159146612,7.36233772210002,24.641604974,21147535925.2
1890,1894,84,1974,1978,9.06892268343871,2.16630658786492,24.592106878,21020295218.8
1890,1894,85,1975,1979,0.951320906917142,0.669183826558157,24.047370466,19757190028
1895,1899,74,1969,1973,2.34857558890533,NaN,26.086483516,25143795448.2
1895,1899,75,1970,1974,9.12332674402167,2.12299176361424,25.66868063,23965951151.4
1895,1899,76,1971,1975,7.0905657995596,4.26614814570386,25.361063184,23122915107
1895,1899,77,1972,1976,12.0611875946112,2.27184138561458,24.983655394,22079435050.8
1895,1899,78,1973,1977,8.4080852269919,3.67526670011634,24.641604974,21147535925.2
1895,1899,79,1974,1978,11.3056931057589,4.59681921182323,24.592106878,21020295218.8
1895,1899,80,1975,1979,9.22119853101485,4.65581598240189,24.047370466,19757190028
1895,1899,81,1976,1980,8.83505229088217,7.37820948268398,23.852892268,19275634918.8
1895,1899,82,1977,1981,8.80958867616256,2.0295701456864,23.875527312,19333918519.4
1895,1899,83,1978,1982,7.44176432568695,4.67911325542268,23.528493036,18512547950.2
1895,1899,84,1979,1983,7.96204669544988,3.76904213211505,23.428367548,18262917484.4
1895,1899,85,1980,1984,1.65590328701096,0.669940657619001,23.692261682,18838121558.6
1900,1904,69,1969,1973,11.3246008078215,NaN,26.086483516,25143795448.2
1900,1904,70,1970,1974,11.7193050665091,2.56843505767962,25.66868063,23965951151.4
1900,1904,71,1971,1975,7.61064243656591,4.80378067295933,25.361063184,23122915107
1900,1904,72,1972,1976,8.14967630670177,3.8582239891333,24.983655394,22079435050.8
1900,1904,73,1973,1977,10.1503776658062,3.89577386452006,24.641604974,21147535925.2
1900,1904,74,1974,1978,10.8203104510162,5.02752745781458,24.592106878,21020295218.8
1900,1904,75,1975,1979,9.2641418055885,3.43114268681458,24.047370466,19757190028
1900,1904,76,1976,1980,4.73589533316135,2.15165297986432,23.852892268,19275634918.8
1900,1904,77,1977,1981,10.3966616350628,6.51493113605024,23.875527312,19333918519.4
1900,1904,78,1978,1982,10.3303257022215,4.16534557056088,23.528493036,18512547950.2
1900,1904,79,1979,1983,7.9182601144229,2.18905372482772,23.428367548,18262917484.4
1900,1904,80,1980,1984,12.6555842979483,8.50895003829321,23.692261682,18838121558.6
1900,1904,81,1981,1985,12.431758012582,6.27344484243567,23.519094984,18441342013
1900,1904,82,1982,1986,9.08573325233463,6.67790589678577,23.125582334,17502350889
1900,1904,83,1983,1987,9.07096015321252,5.00582062122717,22.81523839,16866494730.8
1900,1904,84,1984,1988,8.77209129836839,7.22515251720261,22.335209238,15807643437.2
1900,1904,85,1985,1989,1.48932043004375,1.02457658244633,21.923846804,14939561639.8
1905,1909,64,1969,1973,10.4172867432585,NaN,26.086483516,25143795448.2
1905,1909,65,1970,1974,8.54642984905203,1.12324122475462,25.66868063,23965951151.4
1905,1909,66,1971,1975,6.11036393712431,4.373655025684,25.361063184,23122915107
1905,1909,67,1972,1976,8.00630592137188,5.53069958909681,24.983655394,22079435050.8
1905,1909,68,1973,1977,8.99315992986766,5.37984542890902,24.641604974,21147535925.2
1905,1909,69,1974,1978,8.27834366237839,3.29760856700056,24.592106878,21020295218.8
1905,1909,70,1975,1979,9.14450019696031,3.02995060662222,24.047370466,19757190028
1905,1909,71,1976,1980,8.5956630289312,3.735564440362,23.852892268,19275634918.8
1905,1909,72,1977,1981,11.0759866959879,3.59204468914334,23.875527312,19333918519.4
1905,1909,73,1978,1982,8.84266379296141,3.80257749300478,23.528493036,18512547950.2
1905,1909,74,1979,1983,9.65444437257757,2.46901662858603,23.428367548,18262917484.4
1905,1909,75,1980,1984,9.26128274964223,1.89586370729129,23.692261682,18838121558.6
1905,1909,76,1981,1985,5.53907653057389,1.49801904890595,23.519094984,18441342013
1905,1909,77,1982,1986,9.59766937701715,2.49899590597601,23.125582334,17502350889
1905,1909,78,1983,1987,4.8678832488491,2.21889112779891,22.81523839,16866494730.8
1905,1909,79,1984,1988,6.91730889433135,3.12145517902664,22.335209238,15807643437.2
1905,1909,80,1985,1989,10.4570767723889,5.13460776177201,21.923846804,14939561639.8
1905,1909,81,1986,1990,7.47329498163684,3.71107367979553,21.402348126,13915382990.2
1905,1909,82,1987,1991,10.2530377456392,3.46548220540473,20.925491594,12976312964.8
1905,1909,83,1988,1992,8.81285954933586,1.97564438541454,20.90229161,12932335732.4
1905,1909,84,1989,1993,8.41445033217771,6.59528364218164,20.77200259,12682335148.6
1905,1909,85,1990,1994,1.91014664483817,1.10969555338516,20.924736614,12986042038.6
1910,1914,59,1969,1973,11.3332997531859,NaN,26.086483516,25143795448.2
1910,1914,60,1970,1974,4.55458842523083,1.34893271402016,25.66868063,23965951151.4
1910,1914,61,1971,1975,10.7705262286051,2.07409977212593,25.361063184,23122915107
1910,1914,62,1972,1976,6.77334539088202,4.4532447428919,24.983655394,22079435050.8
1910,1914,63,1973,1977,5.89943505159563,1.92287794196157,24.641604974,21147535925.2
1910,1914,64,1974,1978,7.03590757795774,2.94500344359306,24.592106878,21020295218.8
1910,1914,65,1975,1979,8.30317058153499,1.96254173233595,24.047370466,19757190028
1910,1914,66,1976,1980,12.1928364592243,4.41148477048871,23.852892268,19275634918.8
1910,1914,67,1977,1981,9.33580863942836,2.88900001036962,23.875527312,19333918519.4
