cohort.lower.bound,cohort.upper.bound,age,diag.year.lower.bound,diag.year.upper.bound,ir.mean,ir.sd,size,num
1890,1894,79,1969,1973,0,NaN,26.086483516,25143795448.2
1890,1894,80,1970,1974,4.8926072704144,6.91919155718526,25.66868063,23965951151.4
1890,1894,81,1971,1975,3.37433146057937,5.84451353130157,25.361063184,23122915107
1890,1894,82,1972,1976,7.11593997581352,5.30325317678936,24.983655394,22079435050.8
1890,1894,83,1973,1977,10.7522433489372,8.1652017444962,24.641604974,21147535925.2
1890,1894,84,1974,1978,7.24919428665572,8.65273198006622,24.592106878,21020295218.8
1890,1894,85,1975,1979,2.76899422675511,2.66353250143805,24.047370466,19757190028
1895,1899,74,1969,1973,20.344500203445,NaN,26.086483516,25143795448.2
1895,1899,75,1970,1974,8.83621307210686,3.44329769659806,25.66868063,23965951151.4
1895,1899,76,1971,1975,5.94627839723833,1.68806919155323,25.361063184,23122915107
1895,1899,77,1972,1976,5.41915652224672,6.85446371905318,24.983655394,22079435050.8
1895,1899,78,1973,1977,8.22300755265463,7.87957444358007,24.641604974,21147535925.2
1895,1899,79,1974,1978,8.20531089927264,3.04736437859077,24.592106878,21020295218.8
1895,1899,80,1975,1979,10.6712748993569,6.35532480222555,24.047370466,19757190028
1895,1899,81,1976,1980,4.11654746705747,6.76527923030036,23.852892268,19275634918.8
1895,1899,82,1977,1981,7.74696968125364,6.21108303694759,23.875527312,19333918519.4
1895,1899,83,1978,1982,7.36252031324181,2.64354687248107,23.528493036,18512547950.2
1895,1899,84,1979,1983,11.1163801312178,15.2224577709284,23.428367548,18262917484.4
1895,1899,85,1980,1984,0.601069773637689,0.823285467429315,23.692261682,18838121558.6
1900,1904,69,1969,1973,7.03004171158082,NaN,26.086483516,25143795448.2
1900,1904,70,1970,1974,1.08565845185105,1.53535290671273,25.66868063,23965951151.4
1900,1904,71,1971,1975,4.53683946543655,3.42881333631367,25.361063184,23122915107
1900,1904,72,1972,1976,6.95669693411867,2.54166973077331,24.983655394,22079435050.8
1900,1904,73,1973,1977,6.73519216143973,5.88286351652747,24.641604974,21147535925.2
1900,1904,74,1974,1978,8.07987285848394,3.86704680034201,24.592106878,21020295218.8
1900,1904,75,1975,1979,7.62894294874415,5.43303688569844,24.047370466,19757190028
1900,1904,76,1976,1980,5.05932254753392,5.83684743072027,23.852892268,19275634918.8
1900,1904,77,1977,1981,5.24657266180514,1.81756563764247,23.875527312,19333918519.4
